MedicineID,Medicine Name,Category,Manufacturer,Batch No,Unit Price (?),Stock Quantity,Reorder Level,Manufacture Date,Expiry Date,Supplier,Stock Value (?)
MED0195,Diclofenac 50mg,Cardiovascular,Cipla TN,B24450,53.32,1515,150,2025-03-15,2027-11-30,Cipla TN,80779.8
MED0196,Metformin 500mg,Analgesic,Reddy Laboratories,B23091,117.03,845,150,2025-03-15,2027-11-30,Reddy Laboratories,98890.35
MED0197,Atorvastatin 10mg,Cardiovascular,Cipla TN,B42001,222,1157,150,2025-03-15,2027-11-30,Cipla TN,256854
MED0198,Amoxicillin 500mg,Antidiabetic,Zydus Healthcare,B79579,29.06,1722,150,2025-03-15,2027-11-30,Zydus Healthcare,50041.32
MED0199,Paracetamol 650mg,Cardiovascular,Abbott India,B40976,186.43,589,150,2025-03-15,2027-11-30,Abbott India,109807.27
MED0200,Paracetamol 650mg,Antidiabetic,Micro Labs,B35262,38.46,1042,150,2025-03-15,2027-11-30,Micro Labs,40075.32
MED0201,Azithromycin 500mg,Vitamin,Reddy Laboratories,B97542,98.55,941,150,2025-03-15,2027-11-30,Reddy Laboratories,92735.55
MED0202,Pantoprazole 40mg,Cardiovascular,Cipla TN,B92283,69.38,1087,150,2025-03-15,2027-11-30,Cipla TN,75416.06
MED0203,Paracetamol 650mg,Cardiovascular,Micro Labs,B32849,46.73,1400,150,2025-03-15,2027-11-30,Micro Labs,65422
MED0204,Cetirizine Syrup,Antibiotic,Micro Labs,B61134,133.76,382,150,2025-03-15,2027-11-30,Micro Labs,51096.32
MED0205,Vitamin D3 Capsule,Anti-inflammatory,Abbott India,B55162,177.22,1972,150,2025-03-15,2027-11-30,Abbott India,349477.84
MED0206,Cetirizine Syrup,Anti-inflammatory,Reddy Laboratories,B57628,57.87,1706,150,2025-03-15,2027-11-30,Reddy Laboratories,98726.22
MED0207,Pantoprazole 40mg,Antihistamine,Cipla TN,B56921,24.34,1696,150,2025-03-15,2027-11-30,Cipla TN,41280.64
MED0208,Diclofenac 50mg,Cardiovascular,Micro Labs,B46294,128.92,981,150,2025-03-15,2027-11-30,Micro Labs,126470.52
MED0209,Cetirizine Syrup,Vitamin,Abbott India,B26472,241.55,786,150,2025-03-15,2027-11-30,Abbott India,189858.3
MED0210,Ranitidine 150mg,Cardiovascular,Micro Labs,B96541,87.11,713,150,2025-03-15,2027-11-30,Micro Labs,62109.43
MED0211,Amoxicillin 500mg,Anti-inflammatory,Reddy Laboratories,B87492,10.65,795,150,2025-03-15,2027-11-30,Reddy Laboratories,8466.75
MED0212,Ranitidine 150mg,Anti-inflammatory,Reddy Laboratories,B47310,191.29,919,150,2025-03-15,2027-11-30,Reddy Laboratories,175795.51
MED0213,Pantoprazole 40mg,Antacid,Cipla TN,B99930,165.91,848,150,2025-03-15,2027-11-30,Cipla TN,140691.68
MED0214,Cetirizine Syrup,Vitamin,SunPharma Ltd,B52517,83.21,1955,150,2025-03-15,2027-11-30,SunPharma Ltd,162675.55
MED0215,Vitamin D3 Capsule,Antihistamine,Zydus Healthcare,B55984,93.8,826,150,2025-03-15,2027-11-30,Zydus Healthcare,77478.8
MED0216,Cefixime 200mg,Antacid,Abbott India,B31432,59.29,380,150,2025-03-15,2027-11-30,Abbott India,22530.2
MED0217,Atorvastatin 10mg,Anti-inflammatory,SunPharma Ltd,B23750,68.63,615,150,2025-03-15,2027-11-30,SunPharma Ltd,42207.45
MED0218,Atorvastatin 10mg,Cardiovascular,Reddy Laboratories,B13514,126.51,891,150,2025-03-15,2027-11-30,Reddy Laboratories,112720.41
MED0219,Vitamin D3 Capsule,Antibiotic,Micro Labs,B10393,63.68,549,150,2025-03-15,2027-11-30,Micro Labs,34960.32
MED0220,Pantoprazole 40mg,Antidiabetic,Zydus Healthcare,B68014,69.93,1962,150,2025-03-15,2027-11-30,Zydus Healthcare,137202.66
MED0221,Ranitidine 150mg,Analgesic,Micro Labs,B69596,95.17,740,150,2025-03-15,2027-11-30,Micro Labs,70425.8
MED0222,Telmisartan 40mg,Vitamin,Cipla TN,B70843,151.21,576,150,2025-03-15,2027-11-30,Cipla TN,87096.96
MED0223,Cefixime 200mg,Antihistamine,Micro Labs,B89817,5.28,1652,150,2025-03-15,2027-11-30,Micro Labs,8722.56
MED0224,Atorvastatin 10mg,Anti-inflammatory,Abbott India,B96005,195.4,538,150,2025-03-15,2027-11-30,Abbott India,105125.2
MED0225,Amoxicillin 500mg,Antacid,SunPharma Ltd,B90214,127.16,639,150,2025-03-15,2027-11-30,SunPharma Ltd,81255.24
MED0226,Azithromycin 500mg,Antihistamine,Micro Labs,B48458,158.07,1112,150,2025-03-15,2027-11-30,Micro Labs,175773.84
MED0227,Amoxicillin 500mg,Anti-inflammatory,Micro Labs,B27383,236.46,404,150,2025-03-15,2027-11-30,Micro Labs,95529.84
MED0228,Vitamin D3 Capsule,Analgesic,Reddy Laboratories,B21377,125.28,1151,150,2025-03-15,2027-11-30,Reddy Laboratories,144197.28
MED0229,Pantoprazole 40mg,Vitamin,Abbott India,B65951,58.27,1906,150,2025-03-15,2027-11-30,Abbott India,111062.62
MED0230,Atorvastatin 10mg,Cardiovascular,Abbott India,B42050,53.97,658,150,2025-03-15,2027-11-30,Abbott India,35512.26
MED0231,Diclofenac 50mg,Antidiabetic,Reddy Laboratories,B91573,199.13,1796,150,2025-03-15,2027-11-30,Reddy Laboratories,357637.48
MED0232,Amoxicillin 500mg,Antacid,Abbott India,B25432,112.74,284,150,2025-03-15,2027-11-30,Abbott India,32018.16
MED0233,Cetirizine Syrup,Analgesic,Micro Labs,B65305,196.36,1783,150,2025-03-15,2027-11-30,Micro Labs,350109.88
MED0234,Ranitidine 150mg,Antidiabetic,Zydus Healthcare,B24063,117.95,1056,150,2025-03-15,2027-11-30,Zydus Healthcare,124555.2
MED0235,Atorvastatin 10mg,Antibiotic,Abbott India,B87904,15.49,1501,150,2025-03-15,2027-11-30,Abbott India,23250.49
MED0236,Metformin 500mg,Analgesic,Micro Labs,B99897,39.25,534,150,2025-03-15,2027-11-30,Micro Labs,20959.5
MED0237,Telmisartan 40mg,Antidiabetic,Cipla TN,B94257,184.5,1236,150,2025-03-15,2027-11-30,Cipla TN,228042
MED0238,Telmisartan 40mg,Antibiotic,SunPharma Ltd,B93449,33.09,1441,150,2025-03-15,2027-11-30,SunPharma Ltd,47682.69
MED0239,Amoxicillin 500mg,Antibiotic,SunPharma Ltd,B58436,33.86,208,150,2025-03-15,2027-11-30,SunPharma Ltd,7042.88
MED0240,Atorvastatin 10mg,Antibiotic,Zydus Healthcare,B17131,70.59,779,150,2025-03-15,2027-11-30,Zydus Healthcare,54989.61
MED0241,Atorvastatin 10mg,Analgesic,Cipla TN,B63441,90.8,1508,150,2025-03-15,2027-11-30,Cipla TN,136926.4
MED0242,Cetirizine Syrup,Antacid,Zydus Healthcare,B11665,51.52,708,150,2025-03-15,2027-11-30,Zydus Healthcare,36476.16
MED0243,Cetirizine Syrup,Antacid,SunPharma Ltd,B98602,217.02,104,150,2025-03-15,2027-11-30,SunPharma Ltd,22570.08
MED0244,Pantoprazole 40mg,Antacid,Reddy Laboratories,B17344,98,1126,150,2025-03-15,2027-11-30,Reddy Laboratories,110348
MED0245,Vitamin D3 Capsule,Anti-inflammatory,Zydus Healthcare,B55797,150.79,1681,150,2025-03-15,2027-11-30,Zydus Healthcare,253477.99
MED0246,Azithromycin 500mg,Antibiotic,Reddy Laboratories,B50289,192.04,1643,150,2025-03-15,2027-11-30,Reddy Laboratories,315521.72
MED0247,Ranitidine 150mg,Vitamin,SunPharma Ltd,B48588,40.35,620,150,2025-03-15,2027-11-30,SunPharma Ltd,25017
MED0248,Telmisartan 40mg,Antacid,Cipla TN,B68543,64.74,920,150,2025-03-15,2027-11-30,Cipla TN,59560.8
MED0249,Cefixime 200mg,Antibiotic,Reddy Laboratories,B65258,141.09,1663,150,2025-03-15,2027-11-30,Reddy Laboratories,234632.67
MED0250,Atorvastatin 10mg,Antihistamine,Abbott India,B67782,246.36,179,150,2025-03-15,2027-11-30,Abbott India,44098.44
MED0251,Telmisartan 40mg,Antacid,Cipla TN,B63833,21.04,159,150,2025-03-15,2027-11-30,Cipla TN,3345.36
MED0252,Cetirizine Syrup,Anti-inflammatory,SunPharma Ltd,B49350,128.62,405,150,2025-03-15,2027-11-30,SunPharma Ltd,52091.1
MED0253,Diclofenac 50mg,Antidiabetic,Zydus Healthcare,B87700,73.32,1114,150,2025-03-15,2027-11-30,Zydus Healthcare,81678.48
MED0254,Azithromycin 500mg,Antibiotic,SunPharma Ltd,B88270,216.33,1262,150,2025-03-15,2027-11-30,SunPharma Ltd,273008.46
MED0255,Cefixime 200mg,Antacid,Zydus Healthcare,B19669,104.51,1958,150,2025-03-15,2027-11-30,Zydus Healthcare,204630.58
MED0256,Cetirizine Syrup,Anti-inflammatory,SunPharma Ltd,B12039,206.85,1695,150,2025-03-15,2027-11-30,SunPharma Ltd,350610.75
MED0257,Diclofenac 50mg,Vitamin,Cipla TN,B22735,39.21,1015,150,2025-03-15,2027-11-30,Cipla TN,39798.15
MED0258,Azithromycin 500mg,Cardiovascular,SunPharma Ltd,B90919,245.71,1744,150,2025-03-15,2027-11-30,SunPharma Ltd,428518.24
MED0259,Pantoprazole 40mg,Analgesic,Cipla TN,B73862,137.95,1940,150,2025-03-15,2027-11-30,Cipla TN,267623
MED0260,Metformin 500mg,Analgesic,Abbott India,B38333,100.1,847,150,2025-03-15,2027-11-30,Abbott India,84784.7
MED0261,Cetirizine Syrup,Analgesic,Abbott India,B87807,39.13,1475,150,2025-03-15,2027-11-30,Abbott India,57716.75
MED0262,Pantoprazole 40mg,Antihistamine,Reddy Laboratories,B75298,245.96,1625,150,2025-03-15,2027-11-30,Reddy Laboratories,399685
MED0263,Vitamin D3 Capsule,Antibiotic,Micro Labs,B33148,132.85,1846,150,2025-03-15,2027-11-30,Micro Labs,245241.1
MED0264,Vitamin D3 Capsule,Antacid,Reddy Laboratories,B61009,222.93,1607,150,2025-03-15,2027-11-30,Reddy Laboratories,358248.51
MED0265,Metformin 500mg,Cardiovascular,Reddy Laboratories,B91344,219.09,233,150,2025-03-15,2027-11-30,Reddy Laboratories,51047.97
MED0266,Amoxicillin 500mg,Antibiotic,SunPharma Ltd,B61457,116.25,713,150,2025-03-15,2027-11-30,SunPharma Ltd,82886.25
MED0267,Paracetamol 650mg,Analgesic,SunPharma Ltd,B76533,232.76,291,150,2025-03-15,2027-11-30,SunPharma Ltd,67733.16
MED0268,Vitamin D3 Capsule,Vitamin,Zydus Healthcare,B29965,7.34,1058,150,2025-03-15,2027-11-30,Zydus Healthcare,7765.72
MED0269,Atorvastatin 10mg,Vitamin,SunPharma Ltd,B27105,160.55,1174,150,2025-03-15,2027-11-30,SunPharma Ltd,188485.7
MED0270,Paracetamol 650mg,Antibiotic,Cipla TN,B88701,49.76,1466,150,2025-03-15,2027-11-30,Cipla TN,72948.16
MED0271,Ranitidine 150mg,Anti-inflammatory,Zydus Healthcare,B45851,47.32,828,150,2025-03-15,2027-11-30,Zydus Healthcare,39180.96
MED0272,Amoxicillin 500mg,Cardiovascular,Abbott India,B15391,69.27,775,150,2025-03-15,2027-11-30,Abbott India,53684.25
MED0273,Metformin 500mg,Antibiotic,Cipla TN,B84500,113.12,502,150,2025-03-15,2027-11-30,Cipla TN,56786.24
MED0274,Paracetamol 650mg,Analgesic,Cipla TN,B50205,142.5,493,150,2025-03-15,2027-11-30,Cipla TN,70252.5
MED0275,Amoxicillin 500mg,Cardiovascular,Zydus Healthcare,B62513,175.29,1871,150,2025-03-15,2027-11-30,Zydus Healthcare,327967.59
MED0276,Ranitidine 150mg,Vitamin,SunPharma Ltd,B58522,226.47,488,150,2025-03-15,2027-11-30,SunPharma Ltd,110517.36
MED0277,Amoxicillin 500mg,Analgesic,Zydus Healthcare,B78264,101.59,1924,150,2025-03-15,2027-11-30,Zydus Healthcare,195459.16
MED0278,Paracetamol 650mg,Analgesic,Micro Labs,B50431,104.67,763,150,2025-03-15,2027-11-30,Micro Labs,79863.21
MED0279,Azithromycin 500mg,Vitamin,SunPharma Ltd,B70690,237.35,1084,150,2025-03-15,2027-11-30,SunPharma Ltd,257287.4
MED0280,Metformin 500mg,Anti-inflammatory,Zydus Healthcare,B61564,37.05,1833,150,2025-03-15,2027-11-30,Zydus Healthcare,67912.65
MED0281,Cefixime 200mg,Anti-inflammatory,Abbott India,B69301,179.92,228,150,2025-03-15,2027-11-30,Abbott India,41021.76
MED0282,Metformin 500mg,Antidiabetic,SunPharma Ltd,B94576,87.17,1016,150,2025-03-15,2027-11-30,SunPharma Ltd,88564.72
MED0283,Azithromycin 500mg,Anti-inflammatory,Cipla TN,B59285,98.62,1248,150,2025-03-15,2027-11-30,Cipla TN,123077.76
MED0284,Ranitidine 150mg,Antidiabetic,Zydus Healthcare,B85018,92.03,1237,150,2025-03-15,2027-11-30,Zydus Healthcare,113841.11
MED0285,Vitamin D3 Capsule,Anti-inflammatory,Micro Labs,B69570,134.32,995,150,2025-03-15,2027-11-30,Micro Labs,133648.4
MED0286,Diclofenac 50mg,Antibiotic,Abbott India,B92445,26.67,855,150,2025-03-15,2027-11-30,Abbott India,22802.85
MED0287,Pantoprazole 40mg,Anti-inflammatory,Zydus Healthcare,B41688,202.8,1180,150,2025-03-15,2027-11-30,Zydus Healthcare,239304
MED0288,Amoxicillin 500mg,Antacid,Reddy Laboratories,B19495,247.53,500,150,2025-03-15,2027-11-30,Reddy Laboratories,123765
MED0289,Paracetamol 650mg,Antacid,Reddy Laboratories,B43993,197.96,481,150,2025-03-15,2027-11-30,Reddy Laboratories,95218.76
MED0290,Ranitidine 150mg,Antibiotic,Cipla TN,B92071,242.39,98,150,2025-03-15,2027-11-30,Cipla TN,23754.22
MED0291,Vitamin D3 Capsule,Antibiotic,Reddy Laboratories,B34529,30.88,232,150,2025-03-15,2027-11-30,Reddy Laboratories,7164.16
MED0292,Metformin 500mg,Antidiabetic,Micro Labs,B35651,45.01,154,150,2025-03-15,2027-11-30,Micro Labs,6931.54
MED0293,Cefixime 200mg,Analgesic,Micro Labs,B68479,71.45,1788,150,2025-03-15,2027-11-30,Micro Labs,127752.6
MED0294,Telmisartan 40mg,Antidiabetic,Cipla TN,B98324,196.7,407,150,2025-03-15,2027-11-30,Cipla TN,80056.9
MED0295,Telmisartan 40mg,Antibiotic,Zydus Healthcare,B28447,204.84,1847,150,2025-03-15,2027-11-30,Zydus Healthcare,378339.48
MED0296,Atorvastatin 10mg,Antibiotic,Reddy Laboratories,B74583,35.42,37,150,2025-03-15,2027-11-30,Reddy Laboratories,1310.54
MED0297,Amoxicillin 500mg,Antibiotic,SunPharma Ltd,B11355,185.77,1140,150,2025-03-15,2027-11-30,SunPharma Ltd,211777.8
MED0298,Azithromycin 500mg,Vitamin,Zydus Healthcare,B89756,159.98,1772,150,2025-03-15,2027-11-30,Zydus Healthcare,283484.56
MED0299,Vitamin D3 Capsule,Antihistamine,SunPharma Ltd,B64104,95.38,612,150,2025-03-15,2027-11-30,SunPharma Ltd,58372.56
MED0300,Cetirizine Syrup,Antidiabetic,Micro Labs,B78197,143.15,1085,150,2025-03-15,2027-11-30,Micro Labs,155317.75
MED0301,Pantoprazole 40mg,Anti-inflammatory,Cipla TN,B77967,66.16,985,150,2025-03-15,2027-11-30,Cipla TN,65167.6
MED0302,Ranitidine 150mg,Antidiabetic,Abbott India,B34325,123.62,643,150,2025-03-15,2027-11-30,Abbott India,79487.66
MED0303,Diclofenac 50mg,Antacid,Zydus Healthcare,B15213,178.92,77,150,2025-03-15,2027-11-30,Zydus Healthcare,13776.84
MED0304,Metformin 500mg,Anti-inflammatory,Abbott India,B98901,153.66,988,150,2025-03-15,2027-11-30,Abbott India,151816.08
MED0305,Metformin 500mg,Antidiabetic,Cipla TN,B49314,8.99,1997,150,2025-03-15,2027-11-30,Cipla TN,17953.03
MED0306,Ranitidine 150mg,Antacid,Micro Labs,B24866,73.29,1518,150,2025-03-15,2027-11-30,Micro Labs,111254.22
MED0307,Metformin 500mg,Antibiotic,Cipla TN,B22128,24.23,655,150,2025-03-15,2027-11-30,Cipla TN,15870.65
MED0308,Cefixime 200mg,Anti-inflammatory,Micro Labs,B41238,202.24,730,150,2025-03-15,2027-11-30,Micro Labs,147635.2
MED0309,Diclofenac 50mg,Anti-inflammatory,Micro Labs,B64289,63.13,883,150,2025-03-15,2027-11-30,Micro Labs,55743.79
MED0310,Ranitidine 150mg,Analgesic,Micro Labs,B92341,230.14,895,150,2025-03-15,2027-11-30,Micro Labs,205975.3
MED0311,Amoxicillin 500mg,Antibiotic,Reddy Laboratories,B11378,114.78,1834,150,2025-03-15,2027-11-30,Reddy Laboratories,210506.52
MED0312,Diclofenac 50mg,Analgesic,Cipla TN,B14814,216.14,1736,150,2025-03-15,2027-11-30,Cipla TN,375219.04
MED0313,Pantoprazole 40mg,Analgesic,SunPharma Ltd,B13274,131.04,1959,150,2025-03-15,2027-11-30,SunPharma Ltd,256707.36
MED0314,Diclofenac 50mg,Antibiotic,Abbott India,B52736,179.54,1364,150,2025-03-15,2027-11-30,Abbott India,244892.56
MED0315,Pantoprazole 40mg,Anti-inflammatory,Zydus Healthcare,B88996,172.2,1942,150,2025-03-15,2027-11-30,Zydus Healthcare,334412.4
MED0316,Amoxicillin 500mg,Cardiovascular,Reddy Laboratories,B99116,240.38,1972,150,2025-03-15,2027-11-30,Reddy Laboratories,474029.36
MED0317,Cefixime 200mg,Antidiabetic,Abbott India,B18689,34.13,741,150,2025-03-15,2027-11-30,Abbott India,25290.33
MED0318,Pantoprazole 40mg,Antacid,Zydus Healthcare,B17782,129.85,955,150,2025-03-15,2027-11-30,Zydus Healthcare,124006.75
MED0319,Telmisartan 40mg,Antidiabetic,Cipla TN,B66655,75.53,1072,150,2025-03-15,2027-11-30,Cipla TN,80968.16
MED0320,Atorvastatin 10mg,Antacid,Micro Labs,B56233,249.69,121,150,2025-03-15,2027-11-30,Micro Labs,30212.49
MED0321,Cefixime 200mg,Analgesic,Abbott India,B33511,219.31,31,150,2025-03-15,2027-11-30,Abbott India,6798.61
MED0322,Ranitidine 150mg,Analgesic,Zydus Healthcare,B69269,194.77,1074,150,2025-03-15,2027-11-30,Zydus Healthcare,209182.98
MED0323,Cefixime 200mg,Anti-inflammatory,Reddy Laboratories,B45284,220.6,1993,150,2025-03-15,2027-11-30,Reddy Laboratories,439655.8
MED0324,Amoxicillin 500mg,Vitamin,SunPharma Ltd,B23725,120.23,1159,150,2025-03-15,2027-11-30,SunPharma Ltd,139346.57
MED0325,Pantoprazole 40mg,Antacid,Reddy Laboratories,B87080,220.76,1773,150,2025-03-15,2027-11-30,Reddy Laboratories,391407.48
MED0326,Amoxicillin 500mg,Antacid,SunPharma Ltd,B86859,50.74,1722,150,2025-03-15,2027-11-30,SunPharma Ltd,87374.28
MED0327,Metformin 500mg,Vitamin,Abbott India,B97526,130.99,1849,150,2025-03-15,2027-11-30,Abbott India,242200.51
MED0328,Vitamin D3 Capsule,Analgesic,Abbott India,B41818,155.54,1428,150,2025-03-15,2027-11-30,Abbott India,222111.12
MED0329,Metformin 500mg,Vitamin,SunPharma Ltd,B99666,190.12,1404,150,2025-03-15,2027-11-30,SunPharma Ltd,266928.48
MED0330,Azithromycin 500mg,Antacid,Micro Labs,B22663,115.54,55,150,2025-03-15,2027-11-30,Micro Labs,6354.7
MED0331,Pantoprazole 40mg,Anti-inflammatory,Zydus Healthcare,B67477,198.05,709,150,2025-03-15,2027-11-30,Zydus Healthcare,140417.45
MED0332,Atorvastatin 10mg,Cardiovascular,Micro Labs,B82170,91.88,1007,150,2025-03-15,2027-11-30,Micro Labs,92523.16
MED0333,Atorvastatin 10mg,Vitamin,Micro Labs,B25847,71.19,1471,150,2025-03-15,2027-11-30,Micro Labs,104720.49
MED0334,Telmisartan 40mg,Antacid,Zydus Healthcare,B24852,145.8,985,150,2025-03-15,2027-11-30,Zydus Healthcare,143613
MED0335,Azithromycin 500mg,Vitamin,Abbott India,B82968,95.93,832,150,2025-03-15,2027-11-30,Abbott India,79813.76
MED0336,Diclofenac 50mg,Antihistamine,Zydus Healthcare,B82161,186.31,358,150,2025-03-15,2027-11-30,Zydus Healthcare,66698.98
MED0337,Telmisartan 40mg,Antacid,Cipla TN,B95083,196.12,891,150,2025-03-15,2027-11-30,Cipla TN,174742.92
MED0338,Atorvastatin 10mg,Antacid,Micro Labs,B47982,229.33,960,150,2025-03-15,2027-11-30,Micro Labs,220156.8
MED0339,Metformin 500mg,Antidiabetic,SunPharma Ltd,B85324,74.99,322,150,2025-03-15,2027-11-30,SunPharma Ltd,24146.78
MED0340,Pantoprazole 40mg,Antidiabetic,SunPharma Ltd,B62022,202.93,537,150,2025-03-15,2027-11-30,SunPharma Ltd,108973.41
MED0341,Diclofenac 50mg,Antihistamine,Cipla TN,B87988,186.99,1779,150,2025-03-15,2027-11-30,Cipla TN,332655.21
MED0342,Cefixime 200mg,Analgesic,SunPharma Ltd,B38194,9.32,1352,150,2025-03-15,2027-11-30,SunPharma Ltd,12600.64
MED0343,Pantoprazole 40mg,Cardiovascular,Zydus Healthcare,B65911,213.94,62,150,2025-03-15,2027-11-30,Zydus Healthcare,13264.28
MED0344,Pantoprazole 40mg,Analgesic,Abbott India,B74143,225.07,282,150,2025-03-15,2027-11-30,Abbott India,63469.74
MED0345,Atorvastatin 10mg,Antidiabetic,Zydus Healthcare,B45687,227.86,44,150,2025-03-15,2027-11-30,Zydus Healthcare,10025.84
MED0346,Cetirizine Syrup,Antacid,Abbott India,B20932,229.8,734,150,2025-03-15,2027-11-30,Abbott India,168673.2
MED0347,Ranitidine 150mg,Vitamin,Reddy Laboratories,B39865,159.63,658,150,2025-03-15,2027-11-30,Reddy Laboratories,105036.54
MED0348,Amoxicillin 500mg,Antibiotic,SunPharma Ltd,B54327,146.89,609,150,2025-03-15,2027-11-30,SunPharma Ltd,89456.01
MED0349,Ranitidine 150mg,Antidiabetic,SunPharma Ltd,B28409,70.48,1823,150,2025-03-15,2027-11-30,SunPharma Ltd,128485.04
MED0350,Paracetamol 650mg,Anti-inflammatory,Micro Labs,B88002,153.7,1971,150,2025-03-15,2027-11-30,Micro Labs,302942.7
MED0351,Paracetamol 650mg,Analgesic,Zydus Healthcare,B28733,212.94,1009,150,2025-03-15,2027-11-30,Zydus Healthcare,214856.46
MED0352,Diclofenac 50mg,Analgesic,Reddy Laboratories,B63516,167.19,119,150,2025-03-15,2027-11-30,Reddy Laboratories,19895.61
MED0353,Amoxicillin 500mg,Vitamin,Reddy Laboratories,B86400,179.99,649,150,2025-03-15,2027-11-30,Reddy Laboratories,116813.51
MED0354,Pantoprazole 40mg,Analgesic,Cipla TN,B23707,165.06,379,150,2025-03-15,2027-11-30,Cipla TN,62557.74
MED0355,Azithromycin 500mg,Antihistamine,Zydus Healthcare,B31031,12.01,673,150,2025-03-15,2027-11-30,Zydus Healthcare,8082.73
MED0356,Cefixime 200mg,Cardiovascular,SunPharma Ltd,B25352,198.11,736,150,2025-03-15,2027-11-30,SunPharma Ltd,145808.96
MED0357,Telmisartan 40mg,Antibiotic,Abbott India,B10721,145.38,969,150,2025-03-15,2027-11-30,Abbott India,140873.22
MED0358,Amoxicillin 500mg,Antihistamine,Abbott India,B56775,66.89,991,150,2025-03-15,2027-11-30,Abbott India,66287.99
MED0359,Pantoprazole 40mg,Analgesic,SunPharma Ltd,B95968,60.79,1549,150,2025-03-15,2027-11-30,SunPharma Ltd,94163.71
MED0360,Atorvastatin 10mg,Vitamin,Cipla TN,B26860,27.07,1619,150,2025-03-15,2027-11-30,Cipla TN,43826.33
MED0361,Vitamin D3 Capsule,Cardiovascular,Micro Labs,B42205,126.76,41,150,2025-03-15,2027-11-30,Micro Labs,5197.16
MED0362,Pantoprazole 40mg,Antibiotic,Cipla TN,B70914,249.58,735,150,2025-03-15,2027-11-30,Cipla TN,183441.3
MED0363,Cetirizine Syrup,Antihistamine,Zydus Healthcare,B54828,78.13,1590,150,2025-03-15,2027-11-30,Zydus Healthcare,124226.7
MED0364,Ranitidine 150mg,Antidiabetic,Zydus Healthcare,B80908,101.92,1685,150,2025-03-15,2027-11-30,Zydus Healthcare,171735.2
MED0365,Diclofenac 50mg,Antibiotic,Micro Labs,B92757,18.51,337,150,2025-03-15,2027-11-30,Micro Labs,6237.87
MED0366,Ranitidine 150mg,Antidiabetic,SunPharma Ltd,B24052,43.2,251,150,2025-03-15,2027-11-30,SunPharma Ltd,10843.2
MED0367,Vitamin D3 Capsule,Cardiovascular,Micro Labs,B85614,230.78,638,150,2025-03-15,2027-11-30,Micro Labs,147237.64
MED0368,Ranitidine 150mg,Anti-inflammatory,Zydus Healthcare,B67541,229.21,1438,150,2025-03-15,2027-11-30,Zydus Healthcare,329603.98
MED0369,Ranitidine 150mg,Vitamin,Micro Labs,B95256,91.78,1358,150,2025-03-15,2027-11-30,Micro Labs,124637.24
MED0370,Telmisartan 40mg,Anti-inflammatory,Cipla TN,B23472,145.29,530,150,2025-03-15,2027-11-30,Cipla TN,77003.7
MED0371,Atorvastatin 10mg,Antidiabetic,Cipla TN,B96057,131.58,1373,150,2025-03-15,2027-11-30,Cipla TN,180659.34
MED0372,Cetirizine Syrup,Cardiovascular,Zydus Healthcare,B78347,180.5,139,150,2025-03-15,2027-11-30,Zydus Healthcare,25089.5
MED0373,Cefixime 200mg,Cardiovascular,Cipla TN,B37284,233.13,1225,150,2025-03-15,2027-11-30,Cipla TN,285584.25
MED0374,Diclofenac 50mg,Cardiovascular,Cipla TN,B43556,34.49,1880,150,2025-03-15,2027-11-30,Cipla TN,64841.2
MED0375,Metformin 500mg,Cardiovascular,Abbott India,B50428,64.24,1192,150,2025-03-15,2027-11-30,Abbott India,76574.08
MED0376,Atorvastatin 10mg,Antacid,Zydus Healthcare,B72119,95.71,815,150,2025-03-15,2027-11-30,Zydus Healthcare,78003.65
MED0377,Cefixime 200mg,Antacid,Reddy Laboratories,B30311,18.46,124,150,2025-03-15,2027-11-30,Reddy Laboratories,2289.04
MED0378,Cetirizine Syrup,Analgesic,SunPharma Ltd,B15474,95.08,1842,150,2025-03-15,2027-11-30,SunPharma Ltd,175137.36
MED0379,Paracetamol 650mg,Vitamin,Cipla TN,B49214,124.9,1997,150,2025-03-15,2027-11-30,Cipla TN,249425.3
MED0380,Ranitidine 150mg,Anti-inflammatory,Cipla TN,B84108,145.17,38,150,2025-03-15,2027-11-30,Cipla TN,5516.46
MED0381,Vitamin D3 Capsule,Antihistamine,SunPharma Ltd,B35775,165.84,962,150,2025-03-15,2027-11-30,SunPharma Ltd,159538.08
MED0382,Pantoprazole 40mg,Anti-inflammatory,Micro Labs,B25684,30.63,1700,150,2025-03-15,2027-11-30,Micro Labs,52071
MED0383,Ranitidine 150mg,Antidiabetic,Reddy Laboratories,B16309,190.5,1702,150,2025-03-15,2027-11-30,Reddy Laboratories,324231
MED0384,Azithromycin 500mg,Cardiovascular,SunPharma Ltd,B14054,145.61,1774,150,2025-03-15,2027-11-30,SunPharma Ltd,258312.14
MED0385,Paracetamol 650mg,Antibiotic,Cipla TN,B42227,152.29,1015,150,2025-03-15,2027-11-30,Cipla TN,154574.35
MED0386,Amoxicillin 500mg,Antacid,Zydus Healthcare,B34520,190.03,1322,150,2025-03-15,2027-11-30,Zydus Healthcare,251219.66
MED0387,Pantoprazole 40mg,Antacid,Abbott India,B26257,82.92,429,150,2025-03-15,2027-11-30,Abbott India,35572.68
MED0388,Azithromycin 500mg,Antacid,Zydus Healthcare,B49840,92.95,1207,150,2025-03-15,2027-11-30,Zydus Healthcare,112190.65
