DeptID,Department Name,Branch / City Location,Head of Department,Total Beds,Occupied Beds,Available Beds,ICU Beds,Ventilators Count,Total Doctors,Nursing Staff,Support Staff,Floor No,Block / Wing,Monthly Operating Cost (?),Monthly Revenue (?),Emergency Service (24/7),Equipment Count,Maintenance Status,Department Rating
DEPT0158,Ophthalmology,Salem,Dr. Vignesh Natarajan,145,102,43,16,2,7,54,21,Floor 3,Block Emergency Wing,1018675,1319076,Yes,58,Fully Operational,4.2
DEPT0159,Urology,Madurai,Dr. Karthik Murugesan,78,58,20,13,12,13,23,12,Floor 1,Block A,595767,906828,No,64,Under Maintenance,4.5
DEPT0160,Urology,Coimbatore,Dr. Prakash Rajesh,85,54,31,4,3,16,33,19,Floor 5,Block Emergency Wing,557324,921201,No,78,Fully Operational,4.6
DEPT0161,Cardiothoracic Surgery,Tirunelveli,Dr. Anand Chelliah,123,91,32,21,3,8,44,8,Floor 7,Block D,858830,1239517,No,24,Fully Operational,4.4
DEPT0162,Oncology,Thanjavur,Dr. Arun Natarajan,114,86,28,13,3,23,23,14,Floor 4,Block C,1080741,1334056,No,47,Under Maintenance,5
DEPT0163,Cardiology,Chennai (Main),Dr. Prabhu Srinivasan,51,44,7,14,2,17,29,12,Floor 5,Block Specialty Tower,508944,662256,Yes,33,Fully Operational,4.8
DEPT0164,Vascular Surgery,Chennai (Adyar),Dr. Vijay Natarajan,84,82,2,24,7,16,48,10,Floor 3,Block D,1007755,1805538,Yes,84,Fully Operational,4.4
DEPT0165,Endocrinology,Salem,Dr. Vijay Ganesan,72,33,39,10,3,9,21,11,Floor 5,Block A,1048736,1900992,Yes,83,Fully Operational,4.6
DEPT0166,Urology,Chennai (Main),Dr. Anand Krishnan,103,78,25,11,3,20,26,13,Floor 1,Block D,1322788,1732773,No,76,Inspection Due,4.4
DEPT0167,Radiology & Imaging,Salem,Dr. Prakash Swaminathan,130,115,15,22,19,10,29,28,Floor 6,Block B,1076676,1867856,Yes,44,Under Maintenance,4.6
DEPT0168,Oncology,Chennai (Main),Dr. Kannan Pandian,86,26,60,16,7,8,19,12,Floor 1,Block A,433004,662146,No,60,Fully Operational,4.8
DEPT0169,Emergency & ICU,Coimbatore,Dr. Anand Chandran,85,30,55,15,12,11,18,26,Floor 1,Block D,456951,845267,Yes,20,Fully Operational,4.8
DEPT0170,Orthopedics,Chennai (Adyar),Dr. Vignesh Krishnan,63,28,35,8,6,12,42,12,Floor 1,Block Emergency Wing,539779,963429,Yes,20,Fully Operational,4.5
DEPT0171,Vascular Surgery,Tiruchirappalli,Dr. Prakash Balaji,131,14,117,20,10,18,26,13,Floor 1,Block C,1473650,2223784,Yes,61,Under Maintenance,4.6
DEPT0172,Neurology,Salem,Dr. Prakash Kumar,101,97,4,18,12,15,31,26,Floor 5,Block Specialty Tower,714299,1235211,No,13,Under Maintenance,4.5
DEPT0173,Oncology,Erode,Dr. Siva Rajesh,120,90,30,20,2,12,33,13,Floor 3,Block C,421668,635581,Yes,40,Fully Operational,4.8
DEPT0174,Vascular Surgery,Salem,Dr. Prakash Natarajan,93,19,74,13,6,20,26,9,Floor 1,Block C,1398423,2125609,No,44,Inspection Due,4.7
DEPT0175,Ophthalmology,Erode,Dr. Ramesh Srinivasan,46,12,34,4,3,9,15,22,Floor 5,Block Emergency Wing,342727,618952,No,82,Fully Operational,4.8
DEPT0176,Cardiology,Erode,Dr. Prabhu Raman,85,13,72,9,4,7,22,10,Floor 6,Block D,310207,372441,No,25,Fully Operational,4.1
DEPT0177,Cardiology,Thanjavur,Dr. Ashok Krishnan,99,75,24,5,3,17,45,9,Floor 7,Block C,1417063,1919781,Yes,64,Inspection Due,4.3
DEPT0178,Rheumatology,Tirunelveli,Dr. Karthik Kumar,144,22,122,24,20,23,39,29,Floor 7,Block A,578710,869314,Yes,19,Under Maintenance,4.6
DEPT0179,Plastic Surgery,Chennai (Adyar),Dr. Sundar Raman,67,55,12,23,22,19,36,11,Floor 5,Block C,636907,953887,Yes,84,Fully Operational,4.4
DEPT0180,Endocrinology,Chennai (Main),Dr. Mani Swaminathan,125,47,78,20,19,12,55,13,Floor 5,Block D,1079128,1303479,No,74,Fully Operational,4.6
DEPT0181,Cardiology,Madurai,Dr. Vijay Raman,54,22,32,22,18,10,26,26,Floor 5,Block A,332441,392148,Yes,69,Fully Operational,4.7
DEPT0182,Nephrology,Tirunelveli,Dr. Prakash Rajesh,140,33,107,15,12,21,18,22,Floor 1,Block Specialty Tower,667570,1064131,No,26,Fully Operational,5
DEPT0183,Oncology,Coimbatore,Dr. Dinesh Swaminathan,57,23,34,6,5,13,21,16,Floor 5,Block B,1460291,2548563,Yes,82,Under Maintenance,4.7
DEPT0184,Vascular Surgery,Chennai (Main),Dr. Vijay Rajesh,126,54,72,16,3,13,38,15,Floor 7,Block D,1148923,2105073,Yes,37,Fully Operational,4.2
DEPT0185,Neurology,Tiruchirappalli,Dr. Prakash Natarajan,52,19,33,24,13,19,24,21,Floor 5,Block Emergency Wing,796013,1145900,Yes,26,Inspection Due,4.3
DEPT0186,Urology,Vellore,Dr. Vijay Murugesan,99,74,25,23,17,19,31,15,Floor 4,Block B,1141675,1413262,Yes,68,Fully Operational,4.4
DEPT0187,Pediatrics,Salem,Dr. Ramesh Swaminathan,135,126,9,4,2,11,26,23,Floor 3,Block Emergency Wing,481196,881520,No,82,Fully Operational,4.8
DEPT0188,Cardiothoracic Surgery,Vellore,Dr. Vignesh Rajesh,125,68,57,7,4,13,43,9,Floor 2,Block D,1401004,2344175,Yes,13,Inspection Due,4.9
DEPT0189,Pediatrics,Erode,Dr. Siva Raman,114,24,90,12,2,16,21,17,Floor 1,Block B,413688,701997,Yes,20,Inspection Due,4.5
DEPT0190,Neurology,Chennai (Main),Dr. Anand Chelliah,91,63,28,18,16,13,40,24,Floor 2,Block Emergency Wing,1339955,2132733,Yes,63,Fully Operational,4.3
DEPT0191,Cardiology,Thanjavur,Dr. Sundar Chandran,45,31,14,21,15,14,27,10,Floor 6,Block Specialty Tower,1284156,1909454,No,42,Fully Operational,5
DEPT0192,Psychiatry,Salem,Dr. Prabhu Swaminathan,107,57,50,15,12,9,39,25,Floor 3,Block Specialty Tower,1472341,1706620,Yes,38,Inspection Due,4.9
DEPT0193,Urology,Tiruchirappalli,Dr. Ashok Raman,73,64,9,11,9,8,44,8,Floor 3,Block A,738458,1345557,No,53,Fully Operational,4
DEPT0194,Pediatrics,Thanjavur,Dr. Prakash Chandran,127,51,76,11,3,12,41,29,Floor 5,Block C,779083,1257209,Yes,18,Fully Operational,5
DEPT0195,Cardiology,Coimbatore,Dr. Karthik Swaminathan,128,102,26,10,2,7,34,27,Floor 5,Block Specialty Tower,668226,1213264,Yes,26,Fully Operational,4.3
DEPT0196,Plastic Surgery,Tiruchirappalli,Dr. Mani Subramanian,104,10,94,16,5,24,37,17,Floor 3,Block C,1067876,1254981,Yes,50,Inspection Due,4.6
DEPT0197,Urology,Erode,Dr. Aravind Chandran,138,85,53,22,20,17,21,22,Floor 7,Block B,569956,822796,No,24,Fully Operational,4.2
DEPT0198,ENT,Vellore,Dr. Ashok Natarajan,142,55,87,17,10,8,29,10,Floor 5,Block A,1298082,1579164,No,72,Fully Operational,4.7
DEPT0199,Pediatric Surgery,Erode,Dr. Ganesh Subramanian,106,43,63,20,14,9,45,28,Floor 6,Block A,349976,547118,Yes,79,Fully Operational,5
DEPT0200,Dermatology,Tirunelveli,Dr. Suresh Chandran,100,93,7,6,5,23,36,22,Floor 4,Block D,411435,537747,Yes,50,Under Maintenance,4.4
DEPT0201,Psychiatry,Tiruchirappalli,Dr. Ashok Pandian,90,87,3,19,16,8,53,23,Floor 6,Block Emergency Wing,1104807,1781733,Yes,40,Fully Operational,4
DEPT0202,Cardiology,Vellore,Dr. Anand Pandian,135,19,116,20,5,20,39,28,Floor 5,Block Specialty Tower,1084192,1784518,Yes,75,Fully Operational,4.7
DEPT0203,Gynecology & Obstetrics,Chennai (Main),Dr. Dinesh Balaji,78,66,12,20,3,13,43,16,Floor 5,Block Specialty Tower,992485,1603461,Yes,72,Fully Operational,4.7
DEPT0204,Emergency & ICU,Tirunelveli,Dr. Karthik Kumar,106,99,7,18,5,8,32,24,Floor 3,Block C,858963,1062595,No,42,Inspection Due,4.4
DEPT0205,Neurology,Erode,Dr. Aravind Krishnan,136,58,78,11,4,5,19,23,Floor 6,Block Emergency Wing,676047,1156042,Yes,52,Under Maintenance,4.2
DEPT0206,Neurology,Tirunelveli,Dr. Arun Venkatesh,61,60,1,8,7,7,30,26,Floor 3,Block B,1123759,1420398,Yes,21,Fully Operational,4.3
DEPT0207,Gastroenterology,Chennai (Main),Dr. Suresh Kumar,44,37,7,17,6,5,55,26,Floor 6,Block Emergency Wing,701062,1269703,Yes,63,Fully Operational,4.1
DEPT0208,Cardiothoracic Surgery,Coimbatore,Dr. Siva Rajesh,63,27,36,13,10,12,40,17,Floor 1,Block B,395556,725952,Yes,50,Fully Operational,4.5
DEPT0209,Dermatology,Coimbatore,Dr. Ganesh Raman,128,44,84,19,3,14,52,29,Floor 2,Block C,922006,1109989,Yes,29,Fully Operational,4.1
DEPT0210,Gastroenterology,Coimbatore,Dr. Siva Natarajan,105,39,66,24,3,7,20,22,Floor 3,Block B,312360,513720,Yes,68,Fully Operational,4.6
DEPT0211,Neurology,Chennai (Main),Dr. Aravind Murugesan,128,19,109,24,16,23,35,29,Floor 4,Block B,384381,625033,Yes,54,Fully Operational,4.3
DEPT0212,Neurology,Coimbatore,Dr. Karthik Murugesan,75,55,20,13,7,20,52,24,Floor 2,Block B,940794,1367451,Yes,34,Fully Operational,4.3
DEPT0213,Oncology,Thanjavur,Dr. Aravind Venkatesh,131,26,105,14,10,13,56,25,Floor 4,Block Emergency Wing,656007,1054725,No,61,Fully Operational,4.2
DEPT0214,Endocrinology,Tiruchirappalli,Dr. Prakash Swaminathan,73,49,24,14,3,7,47,18,Floor 2,Block Specialty Tower,416214,722940,No,28,Fully Operational,4.3
DEPT0215,Pediatric Surgery,Coimbatore,Dr. Ganesh Krishnan,104,100,4,17,9,23,56,24,Floor 1,Block Emergency Wing,1356600,1876889,No,63,Under Maintenance,4
DEPT0216,Rheumatology,Chennai (Adyar),Dr. Prakash Pandian,99,49,50,7,3,15,51,22,Floor 4,Block B,455489,683259,No,67,Fully Operational,4.3
DEPT0217,Dermatology,Salem,Dr. Vijay Ganesan,118,10,108,6,3,10,15,13,Floor 6,Block Emergency Wing,1070692,1820782,No,80,Fully Operational,4.8
DEPT0218,Anaesthesiology,Coimbatore,Dr. Vijay Chandran,40,13,27,15,13,14,37,28,Floor 5,Block B,631607,1075314,Yes,41,Under Maintenance,4.8
DEPT0219,Radiology & Imaging,Thanjavur,Dr. Anand Murugesan,97,48,49,19,2,21,35,16,Floor 6,Block C,1408076,2115201,Yes,14,Fully Operational,4.8
DEPT0220,Cardiothoracic Surgery,Coimbatore,Dr. Prabhu Rajesh,76,22,54,17,5,19,37,20,Floor 1,Block Emergency Wing,947652,1575642,Yes,31,Fully Operational,4.3
DEPT0221,Urology,Thanjavur,Dr. Aravind Srinivasan,49,45,4,5,2,14,42,18,Floor 6,Block Specialty Tower,397406,522168,Yes,37,Fully Operational,5
DEPT0222,Oncology,Chennai (Main),Dr. Karthik Natarajan,106,83,23,11,2,22,48,26,Floor 5,Block Specialty Tower,1219424,1941314,Yes,57,Fully Operational,4.1
DEPT0223,Dermatology,Erode,Dr. Anand Balaji,52,14,38,20,4,11,53,28,Floor 1,Block A,336413,573560,Yes,12,Fully Operational,4.6
DEPT0224,Pulmonology,Vellore,Dr. Prabhu Venkatesh,95,74,21,19,10,23,58,26,Floor 6,Block A,825005,1243606,No,50,Under Maintenance,4.5
DEPT0225,Rheumatology,Vellore,Dr. Vignesh Raman,90,57,33,5,3,10,26,22,Floor 1,Block D,1466670,1755010,Yes,54,Fully Operational,4.5
DEPT0226,Vascular Surgery,Madurai,Dr. Ganesh Rajesh,106,92,14,6,3,18,54,11,Floor 3,Block D,650067,768199,Yes,39,Fully Operational,4.7
DEPT0227,Ophthalmology,Vellore,Dr. Arun Rajesh,118,57,61,7,2,9,59,14,Floor 2,Block D,1106608,1283930,Yes,53,Fully Operational,4.2
DEPT0228,Oncology,Salem,Dr. Anand Swaminathan,126,104,22,6,2,8,56,12,Floor 5,Block Specialty Tower,1273737,1738438,Yes,20,Fully Operational,4.2
DEPT0229,Endocrinology,Erode,Dr. Kannan Pandian,41,39,2,15,11,16,25,22,Floor 1,Block B,349522,603023,Yes,71,Fully Operational,4.3
DEPT0230,Gynecology & Obstetrics,Coimbatore,Dr. Karthik Srinivasan,84,37,47,24,15,17,41,11,Floor 7,Block Specialty Tower,952873,1537344,No,13,Fully Operational,5
DEPT0231,Pediatric Surgery,Madurai,Dr. Saravanan Subramanian,115,42,73,11,2,9,36,13,Floor 5,Block Emergency Wing,1299074,2243538,Yes,55,Fully Operational,4.3
DEPT0232,Pediatric Surgery,Erode,Dr. Vignesh Chelliah,68,16,52,11,7,22,16,15,Floor 3,Block A,481429,791847,No,36,Inspection Due,4.3
DEPT0233,Nephrology,Coimbatore,Dr. Kannan Pandian,74,40,34,18,17,17,49,27,Floor 3,Block C,548724,932071,Yes,57,Fully Operational,4
DEPT0234,Radiology & Imaging,Erode,Dr. Mani Kumar,135,109,26,18,17,15,49,10,Floor 5,Block Emergency Wing,396393,564231,Yes,38,Fully Operational,4.4
DEPT0235,Nephrology,Vellore,Dr. Siva Swaminathan,122,96,26,14,3,9,19,26,Floor 5,Block D,330257,529948,No,47,Fully Operational,4.1
DEPT0236,Urology,Chennai (Adyar),Dr. Mani Venkatesh,126,84,42,24,13,9,37,16,Floor 3,Block A,1165256,1396979,Yes,74,Fully Operational,4.6
DEPT0237,Pathology & Lab,Erode,Dr. Murugan Krishnan,125,123,2,18,2,18,28,25,Floor 4,Block B,574336,905606,Yes,21,Fully Operational,4.7
DEPT0238,Gynecology & Obstetrics,Coimbatore,Dr. Kannan Rajesh,105,46,59,20,7,6,50,29,Floor 2,Block C,586663,713637,Yes,29,Fully Operational,4.4
DEPT0239,Ophthalmology,Madurai,Dr. Siva Balaji,55,52,3,10,9,17,41,28,Floor 7,Block A,1019778,1315908,Yes,66,Fully Operational,4.8
DEPT0240,Radiology & Imaging,Madurai,Dr. Ramesh Chandran,51,26,25,13,4,18,25,9,Floor 2,Block D,941593,1234010,Yes,19,Fully Operational,4.4
DEPT0241,Plastic Surgery,Coimbatore,Dr. Saravanan Srinivasan,79,49,30,15,9,12,25,21,Floor 5,Block Specialty Tower,355863,441546,Yes,58,Fully Operational,4.3
DEPT0242,Neurology,Tiruchirappalli,Dr. Vijay Chelliah,121,73,48,9,8,6,45,18,Floor 4,Block Specialty Tower,703551,885901,Yes,19,Fully Operational,4.1
DEPT0243,Orthopedics,Tirunelveli,Dr. Anand Kumar,134,104,30,13,10,14,48,16,Floor 6,Block Emergency Wing,595599,913092,No,26,Under Maintenance,4.3
DEPT0244,Cardiothoracic Surgery,Tirunelveli,Dr. Kannan Kumar,71,18,53,11,5,22,27,23,Floor 1,Block D,1462667,2385503,Yes,57,Fully Operational,4.3
DEPT0245,Neurology,Vellore,Dr. Vignesh Rajesh,148,90,58,20,6,10,33,20,Floor 1,Block D,1219134,1745730,No,81,Fully Operational,4.7
DEPT0246,Gynecology & Obstetrics,Salem,Dr. Senthil Ganesan,42,22,20,5,3,10,22,15,Floor 6,Block A,456877,606257,No,68,Fully Operational,4.7
DEPT0247,Pediatrics,Madurai,Dr. Prabhu Chelliah,124,93,31,10,8,8,27,20,Floor 7,Block B,791121,939424,Yes,63,Fully Operational,4.6
DEPT0248,Emergency & ICU,Chennai (Main),Dr. Vignesh Raman,130,118,12,17,9,12,40,22,Floor 3,Block Emergency Wing,676036,998106,No,25,Fully Operational,4.8
DEPT0249,Ophthalmology,Tirunelveli,Dr. Kannan Swaminathan,132,119,13,21,14,15,35,28,Floor 7,Block A,1067442,1687188,No,83,Fully Operational,4.1
DEPT0250,Plastic Surgery,Chennai (Main),Dr. Siva Sundaram,93,10,83,15,4,15,48,23,Floor 1,Block D,1437613,2574011,Yes,36,Fully Operational,4.4
DEPT0251,ENT,Thanjavur,Dr. Aravind Pandian,142,104,38,20,2,12,37,13,Floor 6,Block B,1066565,1240851,No,63,Fully Operational,4.3
DEPT0252,Anaesthesiology,Erode,Dr. Anand Chandran,105,72,33,11,4,11,42,24,Floor 6,Block C,1016773,1379718,Yes,46,Under Maintenance,4.7
DEPT0253,Ophthalmology,Madurai,Dr. Kannan Subramanian,97,41,56,20,10,8,33,10,Floor 6,Block C,826249,1148792,No,72,Inspection Due,4.9
DEPT0254,Psychiatry,Madurai,Dr. Suresh Ganesan,66,18,48,18,17,16,45,21,Floor 5,Block A,930270,1396393,Yes,82,Fully Operational,4.8
DEPT0255,Nephrology,Coimbatore,Dr. Senthil Venkatesh,44,12,32,19,18,19,49,19,Floor 1,Block Emergency Wing,577785,954491,No,59,Under Maintenance,4.9
DEPT0256,Cardiothoracic Surgery,Tirunelveli,Dr. Ashok Kumar,128,75,53,6,3,24,36,28,Floor 6,Block Emergency Wing,1180096,1453697,Yes,61,Fully Operational,4.6
DEPT0257,Pediatric Surgery,Vellore,Dr. Saravanan Krishnan,146,121,25,15,8,8,41,25,Floor 5,Block D,1154741,1750818,Yes,49,Fully Operational,4.3
DEPT0258,Ophthalmology,Erode,Dr. Prakash Rajesh,103,14,89,16,6,9,59,13,Floor 5,Block Emergency Wing,1116698,1749188,Yes,69,Fully Operational,4.9
DEPT0259,Gastroenterology,Tirunelveli,Dr. Kannan Pandian,111,72,39,12,8,19,48,27,Floor 1,Block D,939872,1382129,Yes,10,Fully Operational,4.6
DEPT0260,Vascular Surgery,Thanjavur,Dr. Dinesh Kumar,61,47,14,6,2,20,22,22,Floor 1,Block A,1080277,1400407,Yes,54,Under Maintenance,4.2
DEPT0261,Pathology & Lab,Erode,Dr. Dinesh Krishnan,66,22,44,20,4,10,19,29,Floor 2,Block A,813953,954654,Yes,29,Fully Operational,4.7
DEPT0262,Psychiatry,Chennai (Adyar),Dr. Vijay Kumar,53,23,30,16,8,16,29,26,Floor 7,Block C,708302,1142664,Yes,28,Fully Operational,4.7
DEPT0263,Pulmonology,Erode,Dr. Anand Balaji,146,59,87,4,2,8,27,13,Floor 2,Block Specialty Tower,1448836,1737264,Yes,77,Fully Operational,4
DEPT0264,Pulmonology,Madurai,Dr. Kannan Murugesan,67,41,26,16,3,7,22,22,Floor 3,Block A,565702,737852,No,66,Fully Operational,4.1
DEPT0265,Gynecology & Obstetrics,Chennai (Adyar),Dr. Mani Chandran,132,48,84,5,4,17,37,12,Floor 6,Block Specialty Tower,941517,1153668,No,15,Fully Operational,4.8
DEPT0266,ENT,Thanjavur,Dr. Prabhu Chandran,113,93,20,9,4,7,56,18,Floor 3,Block A,845726,1206520,Yes,14,Under Maintenance,4.8
DEPT0267,Orthopedics,Salem,Dr. Karthik Subramanian,61,57,4,14,12,14,17,16,Floor 4,Block D,1065197,1738009,Yes,82,Fully Operational,4.6
DEPT0268,Pathology & Lab,Tiruchirappalli,Dr. Dinesh Subramanian,126,39,87,5,2,20,39,17,Floor 6,Block B,915416,1495134,Yes,50,Fully Operational,4.2
DEPT0269,Pulmonology,Chennai (Adyar),Dr. Ganesh Natarajan,114,20,94,24,22,17,21,24,Floor 6,Block B,1134379,1333066,No,84,Fully Operational,4
DEPT0270,Orthopedics,Tiruchirappalli,Dr. Ashok Krishnan,96,56,40,18,17,14,26,20,Floor 4,Block Specialty Tower,1388129,1656482,Yes,81,Inspection Due,4.4
DEPT0271,Radiology & Imaging,Erode,Dr. Murugan Rajesh,82,26,56,20,5,12,19,23,Floor 4,Block D,1443413,2000885,No,39,Fully Operational,4.3
DEPT0272,Dermatology,Madurai,Dr. Saravanan Rajesh,106,24,82,7,5,23,27,17,Floor 5,Block Emergency Wing,979222,1231596,Yes,79,Fully Operational,4.4
DEPT0273,Pulmonology,Chennai (Adyar),Dr. Saravanan Krishnan,139,39,100,16,4,6,27,18,Floor 6,Block Specialty Tower,568508,791006,Yes,45,Fully Operational,4.1
DEPT0274,Gynecology & Obstetrics,Salem,Dr. Siva Chelliah,118,66,52,23,10,8,32,12,Floor 4,Block Specialty Tower,828036,999784,Yes,53,Fully Operational,5
DEPT0275,Nephrology,Tirunelveli,Dr. Vijay Natarajan,145,137,8,6,2,23,45,28,Floor 2,Block C,547667,800968,Yes,26,Fully Operational,4.6
DEPT0276,Dermatology,Tiruchirappalli,Dr. Prakash Venkatesh,40,20,20,24,5,11,40,22,Floor 2,Block D,728638,1078140,Yes,74,Fully Operational,4.8
DEPT0277,Dermatology,Chennai (Adyar),Dr. Ganesh Venkatesh,43,28,15,14,9,22,57,18,Floor 5,Block C,775147,973772,No,63,Fully Operational,4.7
DEPT0278,Vascular Surgery,Madurai,Dr. Suresh Ganesan,64,41,23,13,11,12,47,20,Floor 1,Block Specialty Tower,744718,887674,Yes,31,Fully Operational,4.7
DEPT0279,Oncology,Chennai (Adyar),Dr. Arun Ganesan,79,19,60,5,4,6,15,26,Floor 4,Block D,444282,707913,No,75,Fully Operational,4.9
DEPT0280,Plastic Surgery,Tirunelveli,Dr. Ganesh Srinivasan,117,110,7,21,15,6,26,29,Floor 6,Block D,1342092,1819000,Yes,70,Inspection Due,4.8
DEPT0281,General Medicine,Madurai,Dr. Siva Raman,77,76,1,16,12,20,19,11,Floor 5,Block C,1157549,1689624,Yes,21,Fully Operational,4.7
DEPT0282,Radiology & Imaging,Tirunelveli,Dr. Sundar Swaminathan,54,53,1,20,10,19,58,9,Floor 5,Block Emergency Wing,1254138,1795197,Yes,52,Fully Operational,4.7
DEPT0283,Ophthalmology,Coimbatore,Dr. Sundar Krishnan,101,96,5,11,5,7,19,16,Floor 5,Block Specialty Tower,1358302,2083921,Yes,54,Inspection Due,4.2
DEPT0284,ENT,Tirunelveli,Dr. Karthik Subramanian,83,48,35,18,7,15,43,29,Floor 2,Block C,1180147,1838551,No,67,Fully Operational,4.3
DEPT0285,Cardiology,Madurai,Dr. Suresh Venkatesh,68,57,11,22,2,7,49,12,Floor 3,Block D,569515,883232,Yes,48,Under Maintenance,4.5
DEPT0286,Gynecology & Obstetrics,Vellore,Dr. Siva Chelliah,92,52,40,22,9,24,22,17,Floor 2,Block C,1262454,1969295,Yes,29,Fully Operational,4.8
DEPT0287,Anaesthesiology,Tirunelveli,Dr. Sundar Pandian,65,51,14,14,7,6,57,26,Floor 6,Block Specialty Tower,960197,1543098,Yes,81,Fully Operational,4.7
DEPT0288,Pediatric Surgery,Tirunelveli,Dr. Prakash Balaji,100,77,23,15,11,10,26,18,Floor 3,Block Emergency Wing,1334104,2444913,No,63,Fully Operational,4.7
DEPT0289,Urology,Chennai (Main),Dr. Ramesh Srinivasan,50,37,13,12,8,17,37,25,Floor 4,Block C,658766,916961,No,38,Fully Operational,4.5
DEPT0290,Radiology & Imaging,Coimbatore,Dr. Anand Natarajan,119,39,80,23,14,19,39,26,Floor 6,Block B,1201626,1936760,Yes,47,Fully Operational,4.4
DEPT0291,Dermatology,Salem,Dr. Anand Raman,80,19,61,10,9,22,52,27,Floor 1,Block A,905108,1468931,Yes,13,Fully Operational,4.1
DEPT0292,General Medicine,Tirunelveli,Dr. Mani Sundaram,100,44,56,11,9,23,50,25,Floor 4,Block C,1026826,1587570,No,27,Fully Operational,4.9
DEPT0293,Orthopedics,Madurai,Dr. Saravanan Kumar,78,57,21,17,11,20,53,16,Floor 4,Block Specialty Tower,766589,1050615,No,21,Under Maintenance,4.8
DEPT0294,Rheumatology,Tirunelveli,Dr. Karthik Chelliah,97,96,1,16,7,10,58,15,Floor 6,Block C,1030212,1489541,No,39,Fully Operational,4.5
DEPT0295,Pediatrics,Salem,Dr. Ramesh Sundaram,60,21,39,4,2,19,16,27,Floor 7,Block Emergency Wing,1365131,1622042,Yes,52,Fully Operational,4.8
DEPT0296,General Medicine,Thanjavur,Dr. Prakash Subramanian,121,77,44,20,3,6,58,13,Floor 2,Block A,617942,969547,Yes,25,Under Maintenance,4.2
DEPT0297,Anaesthesiology,Tirunelveli,Dr. Anand Sundaram,97,54,43,8,6,14,46,17,Floor 3,Block B,418542,664532,Yes,12,Fully Operational,4.2
DEPT0298,Pathology & Lab,Coimbatore,Dr. Suresh Ganesan,77,28,49,6,5,12,34,22,Floor 4,Block C,427572,499432,Yes,25,Fully Operational,4.9
DEPT0299,Radiology & Imaging,Tiruchirappalli,Dr. Ramesh Chelliah,110,107,3,12,7,21,51,19,Floor 1,Block B,1030602,1610264,Yes,59,Fully Operational,4.1
DEPT0300,Radiology & Imaging,Vellore,Dr. Vijay Sundaram,62,52,10,9,8,9,57,25,Floor 6,Block Emergency Wing,490285,661948,Yes,72,Fully Operational,4.6
DEPT0301,Pathology & Lab,Vellore,Dr. Vignesh Swaminathan,123,101,22,4,3,18,48,23,Floor 3,Block B,1324903,2033600,No,54,Fully Operational,4.1
DEPT0302,Vascular Surgery,Chennai (Adyar),Dr. Dinesh Raman,105,83,22,16,3,19,26,22,Floor 5,Block B,1155754,2011738,Yes,35,Under Maintenance,4.8
DEPT0303,Gastroenterology,Erode,Dr. Prabhu Kumar,90,52,38,22,19,16,42,8,Floor 3,Block D,738963,1297985,Yes,35,Under Maintenance,4.7
DEPT0304,ENT,Salem,Dr. Kannan Srinivasan,126,63,63,19,17,7,59,21,Floor 4,Block Specialty Tower,1188916,1728489,Yes,74,Fully Operational,4.3
DEPT0305,Cardiothoracic Surgery,Tirunelveli,Dr. Kannan Pandian,57,32,25,18,2,11,37,20,Floor 4,Block B,660306,1141833,Yes,16,Fully Operational,4.6
DEPT0306,Gynecology & Obstetrics,Vellore,Dr. Kannan Sundaram,70,30,40,11,2,24,51,29,Floor 5,Block D,1065328,1742676,Yes,67,Fully Operational,4.5
DEPT0307,Endocrinology,Salem,Dr. Suresh Rajesh,114,23,91,5,4,7,47,26,Floor 2,Block A,896860,1110099,Yes,10,Fully Operational,4
DEPT0308,Urology,Chennai (Adyar),Dr. Ashok Raman,132,28,104,22,17,23,23,8,Floor 2,Block C,599488,802209,Yes,64,Fully Operational,4.4
DEPT0309,Emergency & ICU,Salem,Dr. Suresh Swaminathan,144,57,87,14,8,14,24,27,Floor 2,Block D,402780,692099,Yes,72,Under Maintenance,4.3
DEPT0310,Neurology,Chennai (Main),Dr. Ashok Chelliah,138,130,8,23,6,9,34,22,Floor 2,Block B,991804,1787447,No,83,Fully Operational,4.1
DEPT0311,Orthopedics,Vellore,Dr. Prakash Natarajan,140,51,89,16,5,17,26,12,Floor 2,Block D,1278935,1506844,Yes,65,Inspection Due,4.6
DEPT0312,Dermatology,Tiruchirappalli,Dr. Sundar Murugesan,90,78,12,21,13,21,59,9,Floor 1,Block Emergency Wing,1087163,1407628,Yes,67,Fully Operational,4.2
DEPT0313,Plastic Surgery,Tiruchirappalli,Dr. Aravind Krishnan,98,69,29,22,16,20,38,16,Floor 4,Block A,301515,536062,No,58,Fully Operational,4.6
DEPT0314,Anaesthesiology,Chennai (Main),Dr. Ashok Chelliah,143,81,62,21,17,24,33,17,Floor 1,Block Emergency Wing,1251302,2189855,No,34,Inspection Due,4.1
DEPT0315,Gynecology & Obstetrics,Vellore,Dr. Anand Srinivasan,63,20,43,22,3,7,25,13,Floor 5,Block Specialty Tower,716690,1301989,Yes,65,Fully Operational,4.9
DEPT0316,Anaesthesiology,Madurai,Dr. Ashok Swaminathan,125,68,57,10,2,17,15,15,Floor 6,Block D,1017186,1289996,Yes,36,Inspection Due,4.2
DEPT0317,Dermatology,Tirunelveli,Dr. Prabhu Pandian,114,51,63,24,2,22,50,12,Floor 1,Block C,941232,1386085,No,12,Fully Operational,4.1
